Row Labels,Sum of Total_Amount,,,Row Labels,Sum of Total_Amount,Sum of Customer_Rating,,Row Labels,Count of Total_Amount,,,Row Labels,Sum of Total_Amount
,,,,,,,,ORD_000204,,,,,
,,,,,,,,ORD_000205,,,,,
,,,,,,,,ORD_000206,,,,,
,,,,,,,,ORD_000207,,,,,
,,,,,,,,ORD_000208,,,,,
,,,,,,,,ORD_000209,,,,,
,,,,,,,,ORD_000210,,,,,
,,,,,,,,ORD_000211,,,,,
,,,,,,,,ORD_000212,,,,,
,,,,,,,,ORD_000213,,,,,
,,,,,,,,ORD_000214,,,,,
,,,,,,,,ORD_000215,,,,,
,,,,,,,,ORD_000216,,,,,
,,,,,,,,ORD_000217,,,,,
,,,,,,,,ORD_000218,,,,,
,,,,,,,,ORD_000219,,,,,
,,,,,,,,ORD_000220,,,,,
,,,,,,,,ORD_000221,,,,,
,,,,,,,,ORD_000222,,,,,
,,,,,,,,ORD_000223,,,,,
,,,,,,,,ORD_000224,,,,,
,,,,,,,,ORD_000225,,,,,
,,,,,,,,ORD_000226,,,,,
,,,,,,,,ORD_000227,,,,,
,,,,,,,,ORD_000228,,,,,
,,,,,,,,ORD_000229,,,,,
,,,,,,,,ORD_000230,,,,,
,,,,,,,,ORD_000231,,,,,
,,,,,,,,ORD_000232,,,,,
,,,,,,,,ORD_000233,,,,,
,,,,,,,,ORD_000234,,,,,
,,,,,,,,ORD_000235,,,,,
,,,,,,,,ORD_000236,,,,,
,,,,,,,,ORD_000237,,,,,
,,,,,,,,ORD_000238,,,,,
,,,,,,,,ORD_000239,,,,,
,,,,,,,,ORD_000240,,,,,
,,,,,,,,ORD_000241,,,,,
,,,,,,,,ORD_000242,,,,,
,,,,,,,,ORD_000243,,,,,
,,,,,,,,ORD_000244,,,,,
,,,,,,,,ORD_000245,,,,,
,,,,,,,,ORD_000246,,,,,
,,,,,,,,ORD_000247,,,,,
,,,,,,,,ORD_000248,,,,,
,,,,,,,,ORD_000249,,,,,
,,,,,,,,ORD_000250,,,,,
,,,,,,,,ORD_000251,,,,,
,,,,,,,,ORD_000252,,,,,
,,,,,,,,ORD_000253,,,,,
,,,,,,,,ORD_000254,,,,,
,,,,,,,,ORD_000255,,,,,
,,,,,,,,ORD_000256,,,,,
,,,,,,,,ORD_000257,,,,,
,,,,,,,,ORD_000258,,,,,
,,,,,,,,ORD_000259,,,,,
,,,,,,,,ORD_000260,,,,,
,,,,,,,,ORD_000261,,,,,
,,,,,,,,ORD_000262,,,,,
,,,,,,,,ORD_000263,,,,,
,,,,,,,,ORD_000264,,,,,
,,,,,,,,ORD_000265,,,,,
,,,,,,,,ORD_000266,,,,,
,,,,,,,,ORD_000267,,,,,
,,,,,,,,ORD_000268,,,,,
,,,,,,,,ORD_000269,,,,,
,,,,,,,,ORD_000270,,,,,
,,,,,,,,ORD_000271,,,,,
,,,,,,,,ORD_000272,,,,,
,,,,,,,,ORD_000273,,,,,
,,,,,,,,ORD_000274,,,,,
,,,,,,,,ORD_000275,,,,,
,,,,,,,,ORD_000276,,,,,
,,,,,,,,ORD_000277,,,,,
,,,,,,,,ORD_000278,,,,,
,,,,,,,,ORD_000279,,,,,
,,,,,,,,ORD_000280,,,,,
,,,,,,,,ORD_000281,,,,,
,,,,,,,,ORD_000282,,,,,
,,,,,,,,ORD_000283,,,,,
,,,,,,,,ORD_000284,,,,,
,,,,,,,,ORD_000285,,,,,
,,,,,,,,ORD_000286,,,,,
,,,,,,,,ORD_000287,,,,,
,,,,,,,,ORD_000288,,,,,
,,,,,,,,ORD_000289,,,,,
,,,,,,,,ORD_000290,,,,,
,,,,,,,,ORD_000291,,,,,
,,,,,,,,ORD_000292,,,,,
,,,,,,,,ORD_000293,,,,,
,,,,,,,,ORD_000294,,,,,
,,,,,,,,ORD_000295,,,,,
,,,,,,,,ORD_000296,,,,,
,,,,,,,,ORD_000297,,,,,
,,,,,,,,ORD_000298,,,,,
,,,,,,,,ORD_000299,,,,,
,,,,,,,,ORD_000300,,,,,
,,,,,,,,ORD_000301,,,,,
,,,,,,,,ORD_000302,,,,,
,,,,,,,,ORD_000303,,,,,
,,,,,,,,ORD_000304,,,,,
,,,,,,,,ORD_000305,,,,,
,,,,,,,,ORD_000306,,,,,
,,,,,,,,ORD_000307,,,,,
,,,,,,,,ORD_000308,,,,,
,,,,,,,,ORD_000309,,,,,
,,,,,,,,ORD_000310,,,,,
,,,,,,,,ORD_000311,,,,,
,,,,,,,,ORD_000312,,,,,
,,,,,,,,ORD_000313,,,,,
,,,,,,,,ORD_000314,,,,,
,,,,,,,,ORD_000315,,,,,
,,,,,,,,ORD_000316,,,,,
,,,,,,,,ORD_000317,,,,,
,,,,,,,,ORD_000318,,,,,
,,,,,,,,ORD_000319,,,,,
,,,,,,,,ORD_000320,,,,,
,,,,,,,,ORD_000321,,,,,
,,,,,,,,ORD_000322,,,,,
,,,,,,,,ORD_000323,,,,,
,,,,,,,,ORD_000324,,,,,
,,,,,,,,ORD_000325,,,,,
,,,,,,,,ORD_000326,,,,,
,,,,,,,,ORD_000327,,,,,
,,,,,,,,ORD_000328,,,,,
,,,,,,,,ORD_000329,,,,,
,,,,,,,,ORD_000330,,,,,
,,,,,,,,ORD_000331,,,,,
,,,,,,,,ORD_000332,,,,,
,,,,,,,,ORD_000333,,,,,
,,,,,,,,ORD_000334,,,,,
,,,,,,,,ORD_000335,,,,,
,,,,,,,,ORD_000336,,,,,
,,,,,,,,ORD_000337,,,,,
,,,,,,,,ORD_000338,,,,,
,,,,,,,,ORD_000339,,,,,
,,,,,,,,ORD_000340,,,,,
,,,,,,,,ORD_000341,,,,,
,,,,,,,,ORD_000342,,,,,
,,,,,,,,ORD_000343,,,,,
,,,,,,,,ORD_000344,,,,,
,,,,,,,,ORD_000345,,,,,
,,,,,,,,ORD_000346,,,,,
,,,,,,,,ORD_000347,,,,,
,,,,,,,,ORD_000348,,,,,
,,,,,,,,ORD_000349,,,,,
,,,,,,,,ORD_000350,,,,,
,,,,,,,,ORD_000351,,,,,
,,,,,,,,ORD_000352,,,,,
,,,,,,,,ORD_000353,,,,,
,,,,,,,,ORD_000354,,,,,
,,,,,,,,ORD_000355,,,,,
,,,,,,,,ORD_000356,,,,,
,,,,,,,,ORD_000357,,,,,
,,,,,,,,ORD_000358,,,,,
,,,,,,,,ORD_000359,,,,,
,,,,,,,,ORD_000360,,,,,
,,,,,,,,ORD_000361,,,,,
,,,,,,,,ORD_000362,,,,,
,,,,,,,,ORD_000363,,,,,
,,,,,,,,ORD_000364,,,,,
,,,,,,,,ORD_000365,,,,,
,,,,,,,,ORD_000366,,,,,
,,,,,,,,ORD_000367,,,,,
,,,,,,,,ORD_000368,,,,,
,,,,,,,,ORD_000369,,,,,
,,,,,,,,ORD_000370,,,,,
,,,,,,,,ORD_000371,,,,,
,,,,,,,,ORD_000372,,,,,
,,,,,,,,ORD_000373,,,,,
,,,,,,,,ORD_000374,,,,,
,,,,,,,,ORD_000375,,,,,
,,,,,,,,ORD_000376,,,,,
,,,,,,,,ORD_000377,,,,,
,,,,,,,,ORD_000378,,,,,
,,,,,,,,ORD_000379,,,,,
,,,,,,,,ORD_000380,,,,,
,,,,,,,,ORD_000381,,,,,
,,,,,,,,ORD_000382,,,,,
,,,,,,,,ORD_000383,,,,,
,,,,,,,,ORD_000384,,,,,
,,,,,,,,ORD_000385,,,,,
,,,,,,,,ORD_000386,,,,,
,,,,,,,,ORD_000387,,,,,
,,,,,,,,ORD_000388,,,,,
,,,,,,,,ORD_000389,,,,,
,,,,,,,,ORD_000390,,,,,
,,,,,,,,ORD_000391,,,,,
,,,,,,,,ORD_000392,,,,,
,,,,,,,,ORD_000393,,,,,
,,,,,,,,ORD_000394,,,,,
,,,,,,,,ORD_000395,,,,,
,,,,,,,,ORD_000396,,,,,
,,,,,,,,ORD_000397,,,,,
,,,,,,,,ORD_000398,,,,,
,,,,,,,,ORD_000399,,,,,
,,,,,,,,ORD_000400,,,,,
,,,,,,,,ORD_000401,,,,,
,,,,,,,,ORD_000402,,,,,
,,,,,,,,ORD_000403,,,,,
,,,,,,,,ORD_000404,,,,,
,,,,,,,,ORD_000405,,,,,
,,,,,,,,ORD_000406,,,,,
,,,,,,,,ORD_000407,,,,,
,,,,,,,,ORD_000408,,,,,
,,,,,,,,ORD_000409,,,,,
,,,,,,,,ORD_000410,,,,,
,,,,,,,,ORD_000411,,,,,
,,,,,,,,ORD_000412,,,,,
,,,,,,,,ORD_000413,,,,,
,,,,,,,,ORD_000414,,,,,
,,,,,,,,ORD_000415,,,,,
,,,,,,,,ORD_000416,,,,,
,,,,,,,,ORD_000417,,,,,
,,,,,,,,ORD_000418,,,,,
,,,,,,,,ORD_000419,,,,,
,,,,,,,,ORD_000420,,,,,
,,,,,,,,ORD_000421,,,,,
,,,,,,,,ORD_000422,,,,,
,,,,,,,,ORD_000423,,,,,
,,,,,,,,ORD_000424,,,,,
,,,,,,,,ORD_000425,,,,,
,,,,,,,,ORD_000426,,,,,
,,,,,,,,ORD_000427,,,,,
,,,,,,,,ORD_000428,,,,,
,,,,,,,,ORD_000429,,,,,
,,,,,,,,ORD_000430,,,,,
,,,,,,,,ORD_000431,,,,,
,,,,,,,,ORD_000432,,,,,
,,,,,,,,ORD_000433,,,,,
,,,,,,,,ORD_000434,,,,,
,,,,,,,,ORD_000435,,,,,
,,,,,,,,ORD_000436,,,,,
,,,,,,,,ORD_000437,,,,,
,,,,,,,,ORD_000438,,,,,
,,,,,,,,ORD_000439,,,,,
,,,,,,,,ORD_000440,,,,,
,,,,,,,,ORD_000441,,,,,
,,,,,,,,ORD_000442,,,,,
,,,,,,,,ORD_000443,,,,,
,,,,,,,,ORD_000444,,,,,
,,,,,,,,ORD_000445,,,,,
,,,,,,,,ORD_000446,,,,,
,,,,,,,,ORD_000447,,,,,
,,,,,,,,ORD_000448,,,,,
,,,,,,,,ORD_000449,,,,,
,,,,,,,,ORD_000450,,,,,
,,,,,,,,ORD_000451,,,,,
,,,,,,,,ORD_000452,,,,,
,,,,,,,,ORD_000453,,,,,
,,,,,,,,ORD_000454,,,,,
,,,,,,,,ORD_000455,,,,,
,,,,,,,,ORD_000456,,,,,
,,,,,,,,ORD_000457,,,,,
,,,,,,,,ORD_000458,,,,,
,,,,,,,,ORD_000459,,,,,
,,,,,,,,ORD_000460,,,,,
,,,,,,,,ORD_000461,,,,,
,,,,,,,,ORD_000462,,,,,
,,,,,,,,ORD_000463,,,,,
,,,,,,,,ORD_000464,,,,,
,,,,,,,,ORD_000465,,,,,
,,,,,,,,ORD_000466,,,,,
,,,,,,,,ORD_000467,,,,,
,,,,,,,,ORD_000468,,,,,
,,,,,,,,ORD_000469,,,,,
,,,,,,,,ORD_000470,,,,,
,,,,,,,,ORD_000471,,,,,
,,,,,,,,ORD_000472,,,,,
,,,,,,,,ORD_000473,,,,,
,,,,,,,,ORD_000474,,,,,
,,,,,,,,ORD_000475,,,,,
,,,,,,,,ORD_000476,,,,,
,,,,,,,,ORD_000477,,,,,
,,,,,,,,ORD_000478,,,,,
,,,,,,,,ORD_000479,,,,,
,,,,,,,,ORD_000480,,,,,
,,,,,,,,ORD_000481,,,,,
,,,,,,,,ORD_000482,,,,,
,,,,,,,,ORD_000483,,,,,
,,,,,,,,ORD_000484,,,,,
,,,,,,,,ORD_000485,,,,,
,,,,,,,,ORD_000486,,,,,
,,,,,,,,ORD_000487,,,,,
,,,,,,,,ORD_000488,,,,,
,,,,,,,,ORD_000489,,,,,
,,,,,,,,ORD_000490,,,,,
,,,,,,,,ORD_000491,,,,,
,,,,,,,,ORD_000492,,,,,
,,,,,,,,ORD_000493,,,,,
,,,,,,,,ORD_000494,,,,,
,,,,,,,,ORD_000495,,,,,
,,,,,,,,ORD_000496,,,,,
,,,,,,,,ORD_000497,,,,,
,,,,,,,,ORD_000498,,,,,
,,,,,,,,ORD_000499,,,,,
,,,,,,,,ORD_000500,,,,,
,,,,,,,,ORD_000501,,,,,
,,,,,,,,ORD_000502,,,,,
,,,,,,,,ORD_000503,,,,,
,,,,,,,,ORD_000504,,,,,
,,,,,,,,ORD_000505,,,,,
,,,,,,,,ORD_000506,,,,,
,,,,,,,,ORD_000507,,,,,
,,,,,,,,ORD_000508,,,,,
,,,,,,,,ORD_000509,,,,,
,,,,,,,,ORD_000510,,,,,
,,,,,,,,ORD_000511,,,,,
,,,,,,,,ORD_000512,,,,,
,,,,,,,,ORD_000513,,,,,
,,,,,,,,ORD_000514,,,,,
,,,,,,,,ORD_000515,,,,,
,,,,,,,,ORD_000516,,,,,
,,,,,,,,ORD_000517,,,,,
,,,,,,,,ORD_000518,,,,,
,,,,,,,,ORD_000519,,,,,
,,,,,,,,ORD_000520,,,,,
,,,,,,,,ORD_000521,,,,,
,,,,,,,,ORD_000522,,,,,
,,,,,,,,ORD_000523,,,,,
,,,,,,,,ORD_000524,,,,,
,,,,,,,,ORD_000525,,,,,
,,,,,,,,ORD_000526,,,,,
,,,,,,,,ORD_000527,,,,,
,,,,,,,,ORD_000528,,,,,
,,,,,,,,ORD_000529,,,,,
,,,,,,,,ORD_000530,,,,,
,,,,,,,,ORD_000531,,,,,
,,,,,,,,ORD_000532,,,,,
,,,,,,,,ORD_000533,,,,,
,,,,,,,,ORD_000534,,,,,
,,,,,,,,ORD_000535,,,,,
,,,,,,,,ORD_000536,,,,,
,,,,,,,,ORD_000537,,,,,
,,,,,,,,ORD_000538,,,,,
,,,,,,,,ORD_000539,,,,,
,,,,,,,,ORD_000540,,,,,
,,,,,,,,ORD_000541,,,,,
,,,,,,,,ORD_000542,,,,,
,,,,,,,,ORD_000543,,,,,
,,,,,,,,ORD_000544,,,,,
,,,,,,,,ORD_000545,,,,,
,,,,,,,,ORD_000546,,,,,
,,,,,,,,ORD_000547,,,,,
,,,,,,,,ORD_000548,,,,,
,,,,,,,,ORD_000549,,,,,
,,,,,,,,ORD_000550,,,,,
,,,,,,,,ORD_000551,,,,,
,,,,,,,,ORD_000552,,,,,
,,,,,,,,ORD_000553,,,,,
,,,,,,,,ORD_000554,,,,,
,,,,,,,,ORD_000555,,,,,
,,,,,,,,ORD_000556,,,,,
,,,,,,,,ORD_000557,,,,,
,,,,,,,,ORD_000558,,,,,
,,,,,,,,ORD_000559,,,,,
,,,,,,,,ORD_000560,,,,,
,,,,,,,,ORD_000561,,,,,
,,,,,,,,ORD_000562,,,,,
,,,,,,,,ORD_000563,,,,,
,,,,,,,,ORD_000564,,,,,
,,,,,,,,ORD_000565,,,,,
,,,,,,,,ORD_000566,,,,,
,,,,,,,,ORD_000567,,,,,
,,,,,,,,ORD_000568,,,,,
,,,,,,,,ORD_000569,,,,,
,,,,,,,,ORD_000570,,,,,
,,,,,,,,ORD_000571,,,,,
,,,,,,,,ORD_000572,,,,,
,,,,,,,,ORD_000573,,,,,
,,,,,,,,ORD_000574,,,,,
,,,,,,,,ORD_000575,,,,,
,,,,,,,,ORD_000576,,,,,
,,,,,,,,ORD_000577,,,,,
,,,,,,,,ORD_000578,,,,,
,,,,,,,,ORD_000579,,,,,
,,,,,,,,ORD_000580,,,,,
,,,,,,,,ORD_000581,,,,,
,,,,,,,,ORD_000582,,,,,
,,,,,,,,ORD_000583,,,,,
,,,,,,,,ORD_000584,,,,,
,,,,,,,,ORD_000585,,,,,
,,,,,,,,ORD_000586,,,,,
,,,,,,,,ORD_000587,,,,,
,,,,,,,,ORD_000588,,,,,
,,,,,,,,ORD_000589,,,,,
,,,,,,,,ORD_000590,,,,,
,,,,,,,,ORD_000591,,,,,
,,,,,,,,ORD_000592,,,,,
,,,,,,,,ORD_000593,,,,,
,,,,,,,,ORD_000594,,,,,
,,,,,,,,ORD_000595,,,,,
,,,,,,,,ORD_000596,,,,,
,,,,,,,,ORD_000597,,,,,
,,,,,,,,ORD_000598,,,,,
,,,,,,,,ORD_000599,,,,,
,,,,,,,,ORD_000600,,,,,
,,,,,,,,ORD_000601,,,,,
,,,,,,,,ORD_000602,,,,,
,,,,,,,,ORD_000603,,,,,
,,,,,,,,ORD_000604,,,,,
,,,,,,,,ORD_000605,,,,,
,,,,,,,,ORD_000606,,,,,
,,,,,,,,ORD_000607,,,,,
,,,,,,,,ORD_000608,,,,,
,,,,,,,,ORD_000609,,,,,
,,,,,,,,ORD_000610,,,,,
,,,,,,,,ORD_000611,,,,,
,,,,,,,,ORD_000612,,,,,
,,,,,,,,ORD_000613,,,,,
,,,,,,,,ORD_000614,,,,,
,,,,,,,,ORD_000615,,,,,
,,,,,,,,ORD_000616,,,,,
,,,,,,,,ORD_000617,,,,,
,,,,,,,,ORD_000618,,,,,
,,,,,,,,ORD_000619,,,,,
,,,,,,,,ORD_000620,,,,,
,,,,,,,,ORD_000621,,,,,
,,,,,,,,ORD_000622,,,,,
,,,,,,,,ORD_000623,,,,,
,,,,,,,,ORD_000624,,,,,
,,,,,,,,ORD_000625,,,,,
,,,,,,,,ORD_000626,,,,,
,,,,,,,,ORD_000627,,,,,
,,,,,,,,ORD_000628,,,,,
,,,,,,,,ORD_000629,,,,,
,,,,,,,,ORD_000630,,,,,
,,,,,,,,ORD_000631,,,,,
,,,,,,,,ORD_000632,,,,,
,,,,,,,,ORD_000633,,,,,
,,,,,,,,ORD_000634,,,,,
,,,,,,,,ORD_000635,,,,,
,,,,,,,,ORD_000636,,,,,
,,,,,,,,ORD_000637,,,,,
,,,,,,,,ORD_000638,,,,,
,,,,,,,,ORD_000639,,,,,
,,,,,,,,ORD_000640,,,,,
,,,,,,,,ORD_000641,,,,,
,,,,,,,,ORD_000642,,,,,
,,,,,,,,ORD_000643,,,,,
,,,,,,,,ORD_000644,,,,,
,,,,,,,,ORD_000645,,,,,
,,,,,,,,ORD_000646,,,,,
,,,,,,,,ORD_000647,,,,,
,,,,,,,,ORD_000648,,,,,
,,,,,,,,ORD_000649,,,,,
,,,,,,,,ORD_000650,,,,,
,,,,,,,,ORD_000651,,,,,
,,,,,,,,ORD_000652,,,,,
,,,,,,,,ORD_000653,,,,,
,,,,,,,,ORD_000654,,,,,
,,,,,,,,ORD_000655,,,,,
,,,,,,,,ORD_000656,,,,,
,,,,,,,,ORD_000657,,,,,
,,,,,,,,ORD_000658,,,,,
,,,,,,,,ORD_000659,,,,,
,,,,,,,,ORD_000660,,,,,
,,,,,,,,ORD_000661,,,,,
,,,,,,,,ORD_000662,,,,,
,,,,,,,,ORD_000663,,,,,
,,,,,,,,ORD_000664,,,,,
,,,,,,,,ORD_000665,,,,,
,,,,,,,,ORD_000666,,,,,
